"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1B_S12","RF14A2",4,14,0.1,10.01,2,17,4,18.7941923,1,11.1062147,-6.422638108
"Exp1B_S12","RF20A5",9,20,0.25,24.63,2,18,4,26.6589665,1,-8.35266469,-6.025415303
"Exp1B_S12","RF0A0",1,0,0,7.22,2,19,4,17.743126,1,-2.155611514,12.7298418
"Exp1B_S12","RF20A10",13,20,0.5,47.08,2,20,4,8.5982019,1,-7.609477537,14.98822134
"Exp1B_S12","RF8A10",10,8,0.5,20.4,2,21,4,16.633125,1,-15.8442206,12.98930806
"Exp1B_S12","RF8A2",2,8,0.1,8.27,2,22,4,21.4171944,1,-8.57705317,-13.14275271
"Exp1B_S12","RF8A5",6,8,0.25,12.16,2,23,4,164.497095,1,15.72214876,10.66240003
"Exp1B_S12","RF10A10",11,10,0.5,24.73,2,24,4,41.972896,1,-7.382149292,1.771656074
"Exp1B_S12","RF10A2",3,10,0.1,8.79,2,25,4,18.5727668,1,-14.09436279,-15.97441505
"Exp1B_S12","RF14A10",12,14,0.5,33.57,2,26,4,6.7430367,1,7.852376205,-2.416547742
"Exp1B_S12","RF8A5",6,8,0.25,12.16,1,1,5,25.1270797,1,10.03495,-15.48102532
"Exp1B_S12","RF0A0",1,0,0,7.22,1,2,5,180,0,14.21102832,1.539538812
"Exp1B_S12","RF20A10",13,20,0.5,47.08,1,3,5,11.2446974,1,-15.87816558,1.919017865
"Exp1B_S12","RF8A10",10,8,0.5,20.4,1,4,5,31.0468218,1,6.340428473,14.2270601
"Exp1B_S12","RF10A5",7,10,0.25,14.08,1,5,5,180,0,-8.843272694,-6.096755837
"Exp1B_S12","RF14A10",12,14,0.5,33.57,1,6,5,13.2022793,1,13.95828329,-9.644185209
"Exp1B_S12","RF20A5",9,20,0.25,24.63,1,7,5,31.6342231,1,13.19003152,-9.285398734
"Exp1B_S12","RF20A2",5,20,0.1,12.12,1,8,5,131.3576084,1,-12.82070502,1.388855755
"Exp1B_S12","RF10A10",11,10,0.5,24.73,1,9,5,35.5949766,1,-5.080238828,12.32334828
"Exp1B_S12","RF14A2",4,14,0.1,10.01,1,10,5,180,0,4.76673576,4.087411059
